id;productnames;descriptions;startingbids;images;lister;created;category;patrimonio;idp;images2;images3
19;Dell Computer Input Device KM636•Modelo regulamentar WM116t;Modelo: Dell Computer Input Device KM636•Modelo regulamentar WM116t | N serie:  | Detalhes: Kit mouse e teclado sem fio;80;https://m.media-amazon.com/images/I/71su9NZDBHL._AC_SL1500_.jpg;pin;2020-09-08 19:35:18.425937;mouses-teclados;;5000;https://m.media-amazon.com/images/I/61u08vM9NSL._AC_SL1500_.jpg;https://m.media-amazon.com/images/I/61+ru2XMG+L._AC_SL1500_.jpg
20;Dell Computer Input Device KM636•Modelo regulamentar WM116t;Modelo: Dell Computer Input Device KM636•Modelo regulamentar WM116t | N serie:  | Detalhes: Kit mouse e teclado sem fio;80;https://m.media-amazon.com/images/I/71su9NZDBHL._AC_SL1500_.jpg;pin;2020-09-08 19:35:18.425938;mouses-teclados;;5001;https://m.media-amazon.com/images/I/61u08vM9NSL._AC_SL1500_.jpg;https://m.media-amazon.com/images/I/61+ru2XMG+L._AC_SL1500_.jpg
22;Dell Computer Input Device KM636•Modelo regulamentar WM116t;Modelo: Dell Computer Input Device KM636•Modelo regulamentar WM116t | N serie:  | Detalhes: Kit mouse e teclado sem fio;80;https://m.media-amazon.com/images/I/71su9NZDBHL._AC_SL1500_.jpg;pin;2020-09-08 19:35:18.425940;mouses-teclados;;5004;https://m.media-amazon.com/images/I/61u08vM9NSL._AC_SL1500_.jpg;https://m.media-amazon.com/images/I/61+ru2XMG+L._AC_SL1500_.jpg
23;Dell Computer Input Device KM636•Modelo regulamentar WM116t;Modelo: Dell Computer Input Device KM636•Modelo regulamentar WM116t | N serie:  | Detalhes: Kit mouse e teclado sem fio;80;https://m.media-amazon.com/images/I/71su9NZDBHL._AC_SL1500_.jpg;pin;2020-09-08 19:35:18.425941;mouses-teclados;;5005;https://m.media-amazon.com/images/I/61u08vM9NSL._AC_SL1500_.jpg;https://m.media-amazon.com/images/I/61+ru2XMG+L._AC_SL1500_.jpg
24;Monitor DELL P2018H;"Modelo: DELL P2018H | N° série: BR-0VPCHGTVB0099D3NAUA05 | Tamanho do ecrã: 49,4 cm (19,5 polegadas) | Área de visualização do ecrã: 43,05 x 23,99 cm (16,92"""""""" x 9,44"""""""") | Resolução máxima: 1600 x 900 a 60 Hz | Tipo de painel: In-plane switching | Proporção de ecrã: 16:9 | Tipo de ecrã: Monitor plano | Superfície do ecrã: Antibrilho com dureza 3H | Luminosidade: 250 cd/m² (normal) | Relação de contraste: 1000:1 (normal) | Ângulo de visualização: (160° na vertical/170° na horizontal) | Número de cores: 16,7 milhões de cores | Tamanho do pixel: 0,271 mm x 0,263 mm | Gama de cores (normal): 84% (CIE 1976), 72% (CIE 1931) | Profundidade de cor: 8 bits | Tecnologia de retroiluminação: Sistema de retroiluminação periférica branca LED | Tempo de resposta: 5 ms (preto para branco) | Capacidade de ajuste: Base ajustável em altura (130 mm), Inclinação (5°/21°), Rotação (45°), Articulação (90°) | Conectividade: 1 DP (versão 1.2), 1 HDMI (versão 1.4), 1 VGA, 1 porta USB 3.0 - para computador, 2 portas USB 3.0 - parte lateral, 2 portas USB 2.0 – parte inferior | Dimensões: Altura (com a base) (comprimido ~ estendido) 338,8 mm ~ 468,8 mm (13,34"""""""" ~ 18,46""""""""), Largura com a base 461,5 mm (18,17""""""""), Profundidade com a base 180,0 mm (7,09”), Altura sem a base 273,2 mm (10,76""""""""), Largura sem a base 461,5 mm (18,17""""""""), Profundidade sem a base 50,1 mm (1,97"""""""") | Peso: Peso (apenas o ecrã, para suporte VESA) 2,40 kg (5,29 lb), Peso (com a embalagem) 6,13 kg (13,51 lb) | Alimentação: Tensão necessária 100 a 240 V CA / 50 ou 60 Hz ± 3 Hz / 1,5 A (normal) | Consumo energético (ligado) 14 W (normal) / 42 W (máximo) | Consumo energético nos modos de espera/suspensão Inferior a 0,3 W | Funcionalidade de carregamento sem fios: N/D | Suporte de G-SYNC: N/D | PbP / PiP: PbP (Não), PiP (Não) | Disponibilidade para ligação """"""""daisy chain"""""""": Não | Compatibilidade com o Dell Display Manager: Sim | Gestão remota de ativos: Sim, através de Dell Command | Monitor | Saída de áudio: N/D.";350;https://i.zst.com.br/thumbs/12/19/17/722832607.jpg;pin;2020-09-08 19:35:18.425942;monitores;1777;BROVPCHGTVB0099D3NAU;https://i.zst.com.br/thumbs/12/d/38/722833458.jpg;https://i.zst.com.br/thumbs/12/30/38/722833017.jpg
25;Monitor DELL P2018H;"Modelo: DELL P2018H |N° série: BR-0VPCHG-TVB00-99D-30JU-A05 | Tamanho do ecrã: 49,4 cm (19,5 polegadas) | Área de visualização do ecrã: 43,05 x 23,99 cm (16,92"""""""" x 9,44"""""""") | Resolução máxima: 1600 x 900 a 60 Hz | Tipo de painel: In-plane switching | Proporção de ecrã: 16:9 | Tipo de ecrã: Monitor plano | Superfície do ecrã: Antibrilho com dureza 3H | Luminosidade: 250 cd/m² (normal) | Relação de contraste: 1000:1 (normal) | Ângulo de visualização: (160° na vertical/170° na horizontal) | Número de cores: 16,7 milhões de cores | Tamanho do pixel: 0,271 mm x 0,263 mm | Gama de cores (normal): 84% (CIE 1976), 72% (CIE 1931) | Profundidade de cor: 8 bits | Tecnologia de retroiluminação: Sistema de retroiluminação periférica branca LED | Tempo de resposta: 5 ms (preto para branco) | Capacidade de ajuste: Base ajustável em altura (130 mm), Inclinação (5°/21°), Rotação (45°), Articulação (90°) | Conectividade: 1 DP (versão 1.2), 1 HDMI (versão 1.4), 1 VGA, 1 porta USB 3.0 - para computador, 2 portas USB 3.0 - parte lateral, 2 portas USB 2.0 – parte inferior | Dimensões: Altura (com a base) (comprimido ~ estendido) 338,8 mm ~ 468,8 mm (13,34"""""""" ~ 18,46""""""""), Largura com a base 461,5 mm (18,17""""""""), Profundidade com a base 180,0 mm (7,09”), Altura sem a base 273,2 mm (10,76""""""""), Largura sem a base 461,5 mm (18,17""""""""), Profundidade sem a base 50,1 mm (1,97"""""""") | Peso: Peso (apenas o ecrã, para suporte VESA) 2,40 kg (5,29 lb), Peso (com a embalagem) 6,13 kg (13,51 lb) | Alimentação: Tensão necessária 100 a 240 V CA / 50 ou 60 Hz ± 3 Hz / 1,5 A (normal) | Consumo energético (ligado) 14 W (normal) / 42 W (máximo) | Consumo energético nos modos de espera/suspensão Inferior a 0,3 W | Funcionalidade de carregamento sem fios: N/D | Suporte de G-SYNC: N/D | PbP / PiP: PbP (Não), PiP (Não) | Disponibilidade para ligação """"""""daisy chain"""""""": Não | Compatibilidade com o Dell Display Manager: Sim | Gestão remota de ativos: Sim, através de Dell Command | Monitor | Saída de áudio: N/D.";350;https://i.zst.com.br/thumbs/12/19/17/722832607.jpg;pin;2020-09-08 19:35:18.425943;monitores;999;BR-0VPCHG-TVB00-99D-30JU-A05;https://i.zst.com.br/thumbs/12/d/38/722833458.jpg;https://i.zst.com.br/thumbs/12/30/38/722833017.jpg
26;Monitor DELL E1916HF;Modelo: DELL E1916HF | N° série: BR-00KFDW-TVB00-88U-20PI-A06 | Tamanho do ecrã: 49,4 cm (19,5 polegadas) | 1. Porta de energia | 2. Porta DP 1.2 | 3. Porta VGA | Relação de constraste: 600:1 | Tempo de resposta: 5ms (cinzento-para-cinzento) | Marca: Dell | Tamanho: 18.5 | Tipo: LCD com retroiluminação LED | Tipo de Painel: TN | Relação de Aspecto: 16:9 | Resolução Nativa: 1366 x 768 a 60 Hz | Distância entre Pixels: 0.3 mm | Píxel por Polegada: 85 | Brilho: 200 cd/m² | Suporte de Cor: 16,7 milhões de cores | Ângulo de Visualização Horizontal: 90° | Ângulo de Visualização Vertical: 65° | Revestimento de Tela: Anti-ofuscamento | Tipo de moldura: Elevado | Recursos: 72% da gama de cores (CIE 1931), 83% da gama de cores (CIE 1976) | Dimensões: 44.54 x 17.1 x 35.96 cm (com apoio) | Conectores de Entrada: 1x VGA, 1x DisplayPort 1.2, 1x Porta de energia | Padrões Ambientais: TCO Certified Displays 8, Qualificado para ENERGY STAR | Padrões de Conformidade: Qualificado para ENERGY STAR, TCO Certified | Ajustes da Posição do Visor: Inclinação | Ângulo de inclinação: -5° / +21° | Voltagem: AC 120/230 V (50/60 Hz) | Consumo de energia em modo operacional: 10 Watt | Modo de espera de consumo de energia: 0.3 Watt | Modo de inatividade de consumo de energia: 0.3 Watt | Interruptor de ativação/desativação | Software Incluído: Dell Display Manager | Temperatura de Funcionamento Mínima: 0° C | Temperatura de Funcionamento Máxima: 40° C | Limite de umidade em Funcionamento: 10 - 80% (sem condensação).;225;https://http2.mlstatic.com/D_NQ_NP_2X_758961-MLB42586190111_072020-F.webp;pin;2020-09-08 19:35:18.425944;monitores;;BR-00KFDW-TVB00-88U-20PI-A06;https://http2.mlstatic.com/D_NQ_NP_2X_966949-MLB42586190109_072020-F.webp;https://http2.mlstatic.com/D_NQ_NP_2X_792295-MLB42586190110_072020-F.webp
27;Monitor DELL E1916HF;"Modelo: DELL E1916HF | N° série: BR-00KFDW-TVB00-88U-06AI-A06 | Tamanho do ecrã: 49,4 cm (19,5 polegadas) | 1. Porta de energia | 2. Porta DP 1.2 | 3. Porta VGA | Relação de constraste: 600:1 | Tempo de resposta: 5ms (cinzento-para-cinzento) | Marca: Dell | Tamanho: 18.5 | Tipo: LCD com retroiluminação LED | Tipo de Painel: TN | Relação de Aspecto: 16:9 | Resolução Nativa: 1366 x 768 a 60 Hz | Distância entre Pixels: 0.3 mm | Píxel por Polegada: 85 | Brilho: 200 cd/m² | Suporte de Cor: 16,7 milhões de cores | Ângulo de Visualização Horizontal: 90° | Ângulo de Visualização Vertical: 65° | Revestimento de Tela: Anti-ofuscamento | Tipo de moldura: Elevado | Recursos: 72% da gama de cores (CIE 1931), 83% da gama de cores (CIE 1976) | Dimensões: 44.54 x 17.1 x 35.96 cm (com apoio) | Conectores de Entrada: 1x VGA, 1x DisplayPort 1.2, 1x Porta de energia | Padrões Ambientais: TCO Certified Displays 8, Qualificado para ENERGY STAR | Padrões de Conformidade: Qualificado para ENERGY STAR, TCO Certified | Ajustes da Posição do Visor: Inclinação | Ângulo de inclinação: -5° / +21° | Voltagem: AC 120/230 V (50/60 Hz) | Consumo de energia em modo operacional: 10 Watt | Modo de espera de consumo de energia: 0.3 Watt | Modo de inatividade de consumo de energia: 0.3 Watt | Interruptor de ativação/desativação | Software Incluído: Dell Display Manager | Temperatura de Funcionamento Mínima: 0° C | Temperatura de Funcionamento Máxima: 40° C | Limite de umidade em Funcionamento: 10 - 80% (sem condensação).""""""";225;https://http2.mlstatic.com/D_NQ_NP_2X_758961-MLB42586190111_072020-F.webp;pin;2020-09-08 19:35:18.425945;monitores;;BR-00KFDW-TVB00-88U-06AI-A06;https://http2.mlstatic.com/D_NQ_NP_2X_966949-MLB42586190109_072020-F.webp;https://http2.mlstatic.com/D_NQ_NP_2X_792295-MLB42586190110_072020-F.webp
28;Monitor DELL P2219H;"Modelo: DELL P2219H | N° série: BR-02DV09TVB000211DMU | Tamanho do ecrã: 54,6 cm (21,5 polegadas) | 1. Conector de alimentação | 2. Porta HDMI | 3. Funcionalidade de bloqueio da base | 4. DisplayPort | 5. Conector VGA | 6. Porta USB para ligar ao computador | 7. Portas USB para ligar dispositivos | 8. Portas USB para ligar dispositivos | 1 DisplayPort versão 1.2 | 2. 1 porta HDMI versão 1.4 | 3. 1 porta VGA | 4. 1 porta USB 3.0 para ligar ao computador (parte inferior) | 5. 2 portas USB 3.0 para ligar dispositivos (parte lateral) | 6. 2 portas USB 2.0 para ligar dispositivos (parte inferior) | 7. Altura: 353,4 mm ~ 472,0 mm (13,91"""""""" ~ 18,58"""""""") | Largura: 487,3 mm (19,19"""""""") | Profundidade: 166,0 mm (6,54"""""""") | Com base | 8. Altura: 293,4 mm (11,55"""""""") | Largura: 487,3 mm (19,19"""""""") | Profundidade: 41,3 mm (1,63"""""""") | Sem base | 9. Peso (apenas o painel – para suporte VESA) 2,75 kg (6,06 lb) | 10. Peso (com embalagem) 6,26 kg (13,80 lb) | 11. Tensão necessária De 100 V CA a 240 V CA/50 Hz ou 60 Hz ± 3 Hz/1,5 A (normal) | 12. Consumo energético (ligado) 17 W (normal)/37 W (máximo)** | 13. ** Consumo energético máximo com a luminosidade e o contraste no máximo. | 14. Consumo energético nos modos de espera/suspensão Inferior a 0,3 W.";600;https://a-static.mlcdn.com.br/800x560/monitor-dell-p2219h-led-22-preto-100v-240v/vegasshop6/0000000148/5fbc771931b318c5bbdf377daaa34411.jpeg;pin;2020-09-08 19:35:18.425946;monitores;1415;BR-02DV09TVB000211DMU;https://a-static.mlcdn.com.br/800x560/monitor-dell-p2219h-led-22-preto-100v-240v/vegasshop6/0000000148/3c39ce1c33fdf29f56db6cd021a9970e.jpeg;https://a-static.mlcdn.com.br/800x560/monitor-dell-p2219h-led-22-preto-100v-240v/vegasshop6/0000000148/5afc3770c713e944ca3870d769ec608c.jpeg
29;Monitor DELL P2219H;"Modelo: DELL P2219H | N° série: BR-02DV09TVB000211T1U | Tamanho do ecrã: 54,6 cm (21,5 polegadas) | 1. Conector de alimentação | 2. Porta HDMI | 3. Funcionalidade de bloqueio da base | 4. DisplayPort | 5. Conector VGA | 6. Porta USB para ligar ao computador | 7. Portas USB para ligar dispositivos | 8. Portas USB para ligar dispositivos | 1 DisplayPort versão 1.2 | 2. 1 porta HDMI versão 1.4 | 3. 1 porta VGA | 4. 1 porta USB 3.0 para ligar ao computador (parte inferior) | 5. 2 portas USB 3.0 para ligar dispositivos (parte lateral) | 6. 2 portas USB 2.0 para ligar dispositivos (parte inferior) | 7. Altura: 353,4 mm ~ 472,0 mm (13,91"""""""" ~ 18,58"""""""") | Largura: 487,3 mm (19,19"""""""") | Profundidade: 166,0 mm (6,54"""""""") | Com base | 8. Altura: 293,4 mm (11,55"""""""") | Largura: 487,3 mm (19,19"""""""") | Profundidade: 41,3 mm (1,63"""""""") | Sem base | 9. Peso (apenas o painel – para suporte VESA) 2,75 kg (6,06 lb) | 10. Peso (com embalagem) 6,26 kg (13,80 lb) | 11. Tensão necessária De 100 V CA a 240 V CA/50 Hz ou 60 Hz ± 3 Hz/1,5 A (normal) | 12. Consumo energético (ligado) 17 W (normal)/37 W (máximo)** | 13. ** Consumo energético máximo com a luminosidade e o contraste no máximo. | 14. Consumo energético nos modos de espera/suspensão Inferior a 0,3 W.";600;https://a-static.mlcdn.com.br/800x560/monitor-dell-p2219h-led-22-preto-100v-240v/vegasshop6/0000000148/5fbc771931b318c5bbdf377daaa34411.jpeg;pin;2020-09-08 19:35:18.425947;monitores;1502;BR-02DV09TVB000211T1U;https://a-static.mlcdn.com.br/800x560/monitor-dell-p2219h-led-22-preto-100v-240v/vegasshop6/0000000148/3c39ce1c33fdf29f56db6cd021a9970e.jpeg;https://a-static.mlcdn.com.br/800x560/monitor-dell-p2219h-led-22-preto-100v-240v/vegasshop6/0000000148/5afc3770c713e944ca3870d769ec608c.jpeg
