id;productnames;description;startingbid;images;lister;created;category;patrimonio;idp;images2;images3
1;Notebook DELL Inspiron 5458;Modelo: Notebook DELL Inspiron 5458 | N° série: 64TMVG2  | Processador: Intel i3-5005U |  Memória RAM: 8GB  | Armazenamento HD: NONE  | Armazenamento SSD: 250GB  | Placa de video gráfica: intel® UHD Graphics 5500  | Status: Funcionando;600;https://images.tcdn.com.br/img/img_prod/458206/nb_dell_inspiron_5458_i3_5005u_2_0_500gb_8gb_14_w10home_preto_ol_17343_1_20191003145017.jpg;pin;2020-09-08 19:35:18.425937;notebooks;14;64TMVG2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5458_core_i5_5200u_memoria_4gb_hd_1tb_gravador_dvd_tela_14_lcd_sistema_window_2333_3_61003cb8aeb8a7265e44d0be535630a7.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5458_core_i5_5200u_memoria_4gb_hd_1tb_gravador_dvd_tela_14_lcd_sistema_window_2333_2_e51cb82ec54eb5d7b5e41277c17db5a3.jpg
2;LENOVO G40-80 Laptop - Type 80JE ;Modelo: LENOVO G40-80 Laptop - Type 80JE  | N° de série: PE01ZG67  | Processador: Intel i3-5005U |  Memória RAM: 8GB  | Armazenamento HD: 1TB  | Armazenamento SSD: NONE  | Placa de video gráfica: Intel HD graphics 520  | Status: Funcionando;600;https://www.lenovo.com/medias/lenovo-laptop-g40-front-2.jpg?context=bWFzdGVyfGltYWdlc3wxMTk3MjR8aW1hZ2UvanBlZ3xpbWFnZXMvaGIyL2hlYi85NTAwODY0NzQxNDA2LmpwZ3wwYTAwYTY2NWEzMzdhMTRlZjM5ZWVlZTBjOGU1N2VkNjY1N2YyZTMwZTY4NDcxOGM4ZmY3MWYyOTc0MGUwZTJi;pin;2020-09-08 19:35:18.425938;notebooks;15;PE01ZG67;https://www.lenovo.com/medias/lenovo-laptop-g40-side-back-6.jpg?context=bWFzdGVyfGltYWdlc3wxMTYxMjh8aW1hZ2UvanBlZ3xpbWFnZXMvaDMxL2g5Yi85NTAwODY0NjQzMTAyLmpwZ3xmYjhhOGNlZGE1NmUwYzg3ZTk1ZTQ3NTMzYTNjYmMxMjM3Yzc4MmUwNjc3ODgzYzZlODYzNzVlYzFlMGViMDE3;https://www.lenovo.com/medias/lenovo-laptop-g40-keyboard-4.jpg?context=bWFzdGVyfGltYWdlc3wxOTY2MDd8aW1hZ2UvanBlZ3xpbWFnZXMvaDQ4L2gwMy85NTAwODY1MDY5MDg2LmpwZ3xkZjZkNDZiOGRhOTQ3NjhmZmEzM2I5ZmI1MDVlM2E0NTAxNDZjNTU4NTNmN2M2ZjJkYzk0YjY5ZjUwNGI4OWE1
3;Notebook DELL Inspiron 15 5566;Modelo: Notebook DELL Inspiron 15 5566 | N° de série: J0GRCK2  | Processador: intel i3-6006U |  Memória RAM: 8GB  | Armazenamento HD: NONE  | Armazenamento SSD: 250GB  | Placa de video gráfica: intel® UHD Graphics 520  | Status: Funcionando;625;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5566_core_i5_7200u_memoria_4gb_hd_1tb_tela_15_6_led_lcd_sistema_windows_10_ho_7313_1_19971e836f4cfdb90b6d2d92a3288a55.jpg;pin;2020-09-08 19:35:18.425939;notebooks;16;J0GRCK2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5566_core_i5_7200u_memoria_4gb_hd_1tb_tela_15_6_led_lcd_sistema_windows_10_ho_7313_2_dd47d463042430aa965784ee21aeec20.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5566_core_i5_7200u_memoria_4gb_hd_1tb_tela_15_6_led_lcd_sistema_windows_10_ho_7313_3_6a460d79cdaa66bffbd77b5018936beb.jpg
4;Notebook DELL Vostro 3583;Modelo: Notebook DELL Vostro 3583 | N° de série: 8927K03  | Processador: intel i5-8265U |  Memória RAM: 8GB  | Armazenamento HD: NONE  | Armazenamento SSD: 250GB  | Placa de video gráfica: intel® UHD Graphics 620  | Status: Funcionando;725;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_1_595eca628b5907f80c802c10d7d46d0e.jpg;pin;2020-09-08 19:35:18.425940;notebooks;17;8927K03;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_3_08f797c54796fdc2b874c9ff2208210f.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_4_545ab38080c1b498fba795e39e13a2ff.jpg
5;Notebook DELL Inspiron 5570;Modelo: Notebook DELL Inspiron 5570 | N° de série: 9CSV9X2  | Processador: intel i5-8250U |  Memória RAM: 8GB  | Armazenamento HD: NONE  | Armazenamento SSD: 250GB  | Placa de video gráfica: intel® UHD Graphics 620  | Status: Funcionando;750;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_2_ce0cdaadf0bed2eed4e6bf28a6912927.jpg;pin;2020-09-08 19:35:18.425941;notebooks;18;9CSV9X2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_3_88417351f6f756a69a2335d9fcd0d1c7.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_4_dea3599dbf0990bb9760d5a59f484f62.jpg
6;LENOVO G50-80 Laptop - Type 80R0;Modelo: LENOVO G50-80 Laptop - Type 80R0 | N° de série: PE01YFB3  | Processador: Intel I5-5200u |  Memória RAM: 8GB  | Armazenamento HD: NONE  | Armazenamento SSD: 250GB  | Placa de video gráfica: Intel HD graphics 5500  | Status: Funcionando;680;https://www.lenovo.com/medias/lenovo-laptop-g50-front-2.jpg?context=bWFzdGVyfGltYWdlc3wxMjI2NDd8aW1hZ2UvanBlZ3xpbWFnZXMvaDEzL2g4Mi85NTAwODQyNzU0MDc4LmpwZ3xiZjc4ZmJmNDgwZDMzN2EwOTFhNzhiZTE1YmRhZThlMWNiOTNjNmQ1NWJhYjViYTYyNjA0MjE1NzRhOGU2MTA5;pin;2020-09-08 19:35:18.425942;notebooks;20;PE01YFB3;https://www.lenovo.com/medias/laptop-lenovo-g50-left-open-view-main.png?context=bWFzdGVyfGltYWdlc3w4NjcxMnxpbWFnZS9wbmd8aW1hZ2VzL2gzMS9oMzAvOTUwMDg0MzQwOTQzOC5wbmd8YWY4ZjQ2OWQ2NmVlMDFlNjVkZTkwY2QyODk1ZjU5NDc1OWQ0NDY5N2ExMTk0ZTQ5NDcxN2U5YTEwOGY1Mjg5Mw;https://www.lenovo.com/medias/lenovo-laptop-g50-side-detail-9.jpg?context=bWFzdGVyfGltYWdlc3wxMDQ3NTB8aW1hZ2UvanBlZ3xpbWFnZXMvaDlmL2gyZi85NTAwODQzNTczMjc4LmpwZ3w2ODVlNWMyYWQzNDhlNTdlNTZlOTNmMWU1OWFkYzM3Zjg0ZmIwOTZjZTYzOGJiYTZkNmJhNjc5MTc1YzdmOTQ3
7;Notebook DELL Vostro 3583;Modelo: Notebook DELL Vostro 3583 | N° de série: B53GSY2  | Processador: intel i5-8265U |  Memória RAM: 8GB  | Armazenamento HD: NONE  | Armazenamento SSD: 240GB  | Placa de video gráfica: Intel(R) WhiskeyLake Graphics  | Status: Funcionando;725;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_1_595eca628b5907f80c802c10d7d46d0e.jpg;pin;2020-09-08 19:35:18.425943;notebooks;21;B53GSY2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_3_08f797c54796fdc2b874c9ff2208210f.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_4_545ab38080c1b498fba795e39e13a2ff.jpg
8;Notebook DELL Inspiron 5458;Modelo: Notebook DELL Inspiron 5458 | N° de série: 64SLVG2  | Processador: intel i3-5005U |  Memória RAM: 8GB  | Armazenamento HD: NONE  | Armazenamento SSD: 250GB  | Placa de video gráfica: intel® UHD Graphics 5500  | Status: Funcionando;600;https://images.tcdn.com.br/img/img_prod/458206/nb_dell_inspiron_5458_i3_5005u_2_0_500gb_8gb_14_w10home_preto_ol_17343_1_20191003145017.jpg;pin;2020-09-08 19:35:18.425944;notebooks;22;64SLVG2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5458_core_i5_5200u_memoria_4gb_hd_1tb_gravador_dvd_tela_14_lcd_sistema_window_2333_3_61003cb8aeb8a7265e44d0be535630a7.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5458_core_i5_5200u_memoria_4gb_hd_1tb_gravador_dvd_tela_14_lcd_sistema_window_2333_2_e51cb82ec54eb5d7b5e41277c17db5a3.jpg
9;Notebook DELL Inspiron 15 3567;Modelo: Notebook DELL Inspiron 15 3567 | N° de série:  H89FDQ2  | Processador: intel i3-6006U |  Memória RAM: 8GB  | Armazenamento HD: NONE  | Armazenamento SSD: 250GB  | Placa de video gráfica: intel® UHD Graphics 520  | Status: Funcionando;625;https://www.romapy.com/53346-large_default/notebook-dell-insp-15-3567-i3-204g1trw156w10-spa-promo-19mjh.jpg;pin;2020-09-08 19:35:18.425945;notebooks;23;H89FDQ2;https://www.romapy.com/53345-large_default/notebook-dell-insp-15-3567-i3-204g1trw156w10-spa-promo-19mjh.jpg;https://d30u9wim1barf6.cloudfront.net/Custom/Content/Products/98/81/988189_notebook-dell-inspiron-3567-15-6-hd-i5-7200u-1tb-4gb-win10-h-pretonac004714_z2_637188557161023240.jpg
10;Notebook DELL Inspiron 5457;Modelo: Notebook DELL Inspiron 5457 | N° de série: 5ZHRVG2  | Processador: Intel i7-6500U |  Memória RAM: 16GB  | Armazenamento HD: NONE  | Armazenamento SSD: 250GB  | Placa de video gráfica: NVIDIA GeForce 940MX  | Status: Funcionando;950;https://cdn.shoppub.io/cdn-cgi/image/w=1000,h=1000,q=80,f=auto/oficinadosbits/media/uploads/produtos/foto/amvvniaa/file.png;pin;2020-09-08 19:35:18.425946;notebooks;26;5ZHRVG2;https://cdn.shoppub.io/cdn-cgi/image/w=1000,h=1000,q=80,f=auto/oficinadosbits/media/uploads/produtos/foto/tmylgqlq/file.png;https://cdn.shoppub.io/cdn-cgi/image/w=1000,h=1000,q=80,f=auto/oficinadosbits/media/uploads/produtos/foto/acrsbplr/file.png
